start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,num_requests,context_level
1757116800,1757203200,2025-09-06T00:00:00+00:00,2025-09-07T00:00:00+00:00,,,,,,,
1757203200,1757289600,2025-09-07T00:00:00+00:00,2025-09-08T00:00:00+00:00,,,,,,,
1757289600,1757376000,2025-09-08T00:00:00+00:00,2025-09-09T00:00:00+00:00,,,,,,,
1757376000,1757462400,2025-09-09T00:00:00+00:00,2025-09-10T00:00:00+00:00,,,,,,,
1757462400,1757548800,2025-09-10T00:00:00+00:00,2025-09-11T00:00:00+00:00,,,,,,,
1757548800,1757635200,2025-09-11T00:00:00+00:00,2025-09-12T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,4.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,4.0,medium
1757635200,1757721600,2025-09-12T00:00:00+00:00,2025-09-13T00:00:00+00:00,,,,,,,
1757721600,1757808000,2025-09-13T00:00:00+00:00,2025-09-14T00:00:00+00:00,,,,,,,
1757808000,1757894400,2025-09-14T00:00:00+00:00,2025-09-15T00:00:00+00:00,,,,,,,
1757894400,1757980800,2025-09-15T00:00:00+00:00,2025-09-16T00:00:00+00:00,,,,,,,
1757980800,1758067200,2025-09-16T00:00:00+00:00,2025-09-17T00:00:00+00:00,,,,,,,
1758067200,1758153600,2025-09-17T00:00:00+00:00,2025-09-18T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,27.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,websearch,27.0,
1758153600,1758240000,2025-09-18T00:00:00+00:00,2025-09-19T00:00:00+00:00,,,,,,,
1758240000,1758326400,2025-09-19T00:00:00+00:00,2025-09-20T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,2.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,websearch,2.0,
1758326400,1758412800,2025-09-20T00:00:00+00:00,2025-09-21T00:00:00+00:00,,,,,,,
1758412800,1758499200,2025-09-21T00:00:00+00:00,2025-09-22T00:00:00+00:00,,,,,,,
1758499200,1758585600,2025-09-22T00:00:00+00:00,2025-09-23T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,14.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,websearch,14.0,
1758585600,1758672000,2025-09-23T00:00:00+00:00,2025-09-24T00:00:00+00:00,,,,,,,
1758672000,1758758400,2025-09-24T00:00:00+00:00,2025-09-25T00:00:00+00:00,,,,,,,
1758758400,1758844800,2025-09-25T00:00:00+00:00,2025-09-26T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,26.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,websearch,26.0,
1758844800,1758931200,2025-09-26T00:00:00+00:00,2025-09-27T00:00:00+00:00,,,,,,,
1758931200,1759017600,2025-09-27T00:00:00+00:00,2025-09-28T00:00:00+00:00,,,,,,,
1759017600,1759104000,2025-09-28T00:00:00+00:00,2025-09-29T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,2.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,websearch,2.0,
1759104000,1759190400,2025-09-29T00:00:00+00:00,2025-09-30T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,2.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,websearch,2.0,
1759190400,1759276800,2025-09-30T00:00:00+00:00,2025-10-01T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,6.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,websearch,6.0,
1759276800,1759363200,2025-10-01T00:00:00+00:00,2025-10-02T00:00:00+00:00,,,,,,,
1759363200,1759449600,2025-10-02T00:00:00+00:00,2025-10-03T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,6.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,websearch,6.0,
1759449600,1759536000,2025-10-03T00:00:00+00:00,2025-10-04T00:00:00+00:00,,,,,,,
1759536000,1759622400,2025-10-04T00:00:00+00:00,2025-10-05T00:00:00+00:00,,,,,,,
1759622400,1759708800,2025-10-05T00:00:00+00:00,2025-10-06T00:00:00+00:00,,,,,,,
1759708800,1759795200,2025-10-06T00:00:00+00:00,2025-10-07T00:00:00+00:00,,,,,,,
