start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,characters
1751760000,1751846400,2025-07-06T00:00:00+00:00,2025-07-07T00:00:00+00:00,,,,,,
1751846400,1751932800,2025-07-07T00:00:00+00:00,2025-07-08T00:00:00+00:00,,,,,,
1751932800,1752019200,2025-07-08T00:00:00+00:00,2025-07-09T00:00:00+00:00,,,,,,
1752019200,1752105600,2025-07-09T00:00:00+00:00,2025-07-10T00:00:00+00:00,,,,,,
1752105600,1752192000,2025-07-10T00:00:00+00:00,2025-07-11T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,53.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,4084.0
1752192000,1752278400,2025-07-11T00:00:00+00:00,2025-07-12T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,10.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,550.0
1752278400,1752364800,2025-07-12T00:00:00+00:00,2025-07-13T00:00:00+00:00,,,,,,
1752364800,1752451200,2025-07-13T00:00:00+00:00,2025-07-14T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,7.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,790.0
1752451200,1752537600,2025-07-14T00:00:00+00:00,2025-07-15T00:00:00+00:00,,,,,,
1752537600,1752624000,2025-07-15T00:00:00+00:00,2025-07-16T00:00:00+00:00,,,,,,
1752624000,1752710400,2025-07-16T00:00:00+00:00,2025-07-17T00:00:00+00:00,,,,,,
1752710400,1752796800,2025-07-17T00:00:00+00:00,2025-07-18T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,135.0
1752796800,1752883200,2025-07-18T00:00:00+00:00,2025-07-19T00:00:00+00:00,,,,,,
1752883200,1752969600,2025-07-19T00:00:00+00:00,2025-07-20T00:00:00+00:00,,,,,,
1752969600,1753056000,2025-07-20T00:00:00+00:00,2025-07-21T00:00:00+00:00,,,,,,
1753056000,1753142400,2025-07-21T00:00:00+00:00,2025-07-22T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,103.0
1753142400,1753228800,2025-07-22T00:00:00+00:00,2025-07-23T00:00:00+00:00,,,,,,
1753228800,1753315200,2025-07-23T00:00:00+00:00,2025-07-24T00:00:00+00:00,,,,,,
1753315200,1753401600,2025-07-24T00:00:00+00:00,2025-07-25T00:00:00+00:00,,,,,,
1753401600,1753488000,2025-07-25T00:00:00+00:00,2025-07-26T00:00:00+00:00,,,,,,
1753488000,1753574400,2025-07-26T00:00:00+00:00,2025-07-27T00:00:00+00:00,,,,,,
1753574400,1753660800,2025-07-27T00:00:00+00:00,2025-07-28T00:00:00+00:00,,,,,,
1753660800,1753747200,2025-07-28T00:00:00+00:00,2025-07-29T00:00:00+00:00,,,,,,
1753747200,1753833600,2025-07-29T00:00:00+00:00,2025-07-30T00:00:00+00:00,,,,,,
1753833600,1753920000,2025-07-30T00:00:00+00:00,2025-07-31T00:00:00+00:00,,,,,,
1753920000,1754006400,2025-07-31T00:00:00+00:00,2025-08-01T00:00:00+00:00,,,,,,
1754006400,1754092800,2025-08-01T00:00:00+00:00,2025-08-02T00:00:00+00:00,,,,,,
1754092800,1754179200,2025-08-02T00:00:00+00:00,2025-08-03T00:00:00+00:00,,,,,,
1754179200,1754265600,2025-08-03T00:00:00+00:00,2025-08-04T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,31.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,2414.0
1754265600,1754352000,2025-08-04T00:00:00+00:00,2025-08-05T00:00:00+00:00,,,,,,
1754352000,1754438400,2025-08-05T00:00:00+00:00,2025-08-06T00:00:00+00:00,,,,,,
