start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,num_requests,context_level
1754438400,1754524800,2025-08-06T00:00:00+00:00,2025-08-07T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,6.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,6.0,medium
1754524800,1754611200,2025-08-07T00:00:00+00:00,2025-08-08T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,21.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,21.0,medium
1754611200,1754697600,2025-08-08T00:00:00+00:00,2025-08-09T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,6.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,6.0,medium
1754611200,1754697600,2025-08-08T00:00:00+00:00,2025-08-09T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,o3,1.0,
1754611200,1754697600,2025-08-08T00:00:00+00:00,2025-08-09T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,o3-pro,1.0,
1754697600,1754784000,2025-08-09T00:00:00+00:00,2025-08-10T00:00:00+00:00,,,,,,,
1754784000,1754870400,2025-08-10T00:00:00+00:00,2025-08-11T00:00:00+00:00,,,,,,,
1754870400,1754956800,2025-08-11T00:00:00+00:00,2025-08-12T00:00:00+00:00,,,,,,,
1754956800,1755043200,2025-08-12T00:00:00+00:00,2025-08-13T00:00:00+00:00,,,,,,,
1755043200,1755129600,2025-08-13T00:00:00+00:00,2025-08-14T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,2.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,2.0,medium
1755129600,1755216000,2025-08-14T00:00:00+00:00,2025-08-15T00:00:00+00:00,,,,,,,
1755216000,1755302400,2025-08-15T00:00:00+00:00,2025-08-16T00:00:00+00:00,,,,,,,
1755302400,1755388800,2025-08-16T00:00:00+00:00,2025-08-17T00:00:00+00:00,,,,,,,
1755388800,1755475200,2025-08-17T00:00:00+00:00,2025-08-18T00:00:00+00:00,,,,,,,
1755475200,1755561600,2025-08-18T00:00:00+00:00,2025-08-19T00:00:00+00:00,,,,,,,
1755561600,1755648000,2025-08-19T00:00:00+00:00,2025-08-20T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,6.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,6.0,medium
1755561600,1755648000,2025-08-19T00:00:00+00:00,2025-08-20T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,2.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o,2.0,medium
1755648000,1755734400,2025-08-20T00:00:00+00:00,2025-08-21T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,8.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,8.0,medium
