start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,num_requests,context_level
1755648000,1755734400,2025-08-20T00:00:00+00:00,2025-08-21T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,2.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o,2.0,medium
1755734400,1755820800,2025-08-21T00:00:00+00:00,2025-08-22T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,6.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,6.0,medium
1755820800,1755907200,2025-08-22T00:00:00+00:00,2025-08-23T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,24.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,24.0,medium
1755907200,1755993600,2025-08-23T00:00:00+00:00,2025-08-24T00:00:00+00:00,,,,,,,
1755993600,1756080000,2025-08-24T00:00:00+00:00,2025-08-25T00:00:00+00:00,,,,,,,
1756080000,1756166400,2025-08-25T00:00:00+00:00,2025-08-26T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,6.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o,6.0,medium
1756166400,1756252800,2025-08-26T00:00:00+00:00,2025-08-27T00:00:00+00:00,,,,,,,
1756252800,1756339200,2025-08-27T00:00:00+00:00,2025-08-28T00:00:00+00:00,,,,,,,
1756339200,1756425600,2025-08-28T00:00:00+00:00,2025-08-29T00:00:00+00:00,,,,,,,
1756425600,1756512000,2025-08-29T00:00:00+00:00,2025-08-30T00:00:00+00:00,,,,,,,
1756512000,1756598400,2025-08-30T00:00:00+00:00,2025-08-31T00:00:00+00:00,,,,,,,
1756598400,1756684800,2025-08-31T00:00:00+00:00,2025-09-01T00:00:00+00:00,,,,,,,
1756684800,1756771200,2025-09-01T00:00:00+00:00,2025-09-02T00:00:00+00:00,,,,,,,
1756771200,1756857600,2025-09-02T00:00:00+00:00,2025-09-03T00:00:00+00:00,,,,,,,
1756857600,1756944000,2025-09-03T00:00:00+00:00,2025-09-04T00:00:00+00:00,,,,,,,
1756944000,1757030400,2025-09-04T00:00:00+00:00,2025-09-05T00:00:00+00:00,,,,,,,
1757030400,1757116800,2025-09-05T00:00:00+00:00,2025-09-06T00:00:00+00:00,,,,,,,
